Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q8N7X0	ADGB_HUMAN	reviewed	Androglobin (Calpain-7-like protein)	ADGB C6orf103 CAPN7L	Homo sapiens (Human)	1667
Q5T1N1	AKND1_HUMAN	reviewed	Protein AKNAD1	AKNAD1 C1orf62	Homo sapiens (Human)	836
Q92667	AKAP1_HUMAN	reviewed	A-kinase anchor protein 1, mitochondrial (A-kinase anchor protein 149 kDa) (AKAP 149) (Dual specificity A-kinase-anchoring protein 1) (D-AKAP-1) (Protein kinase A-anchoring protein 1) (PRKA1) (Spermatid A-kinase anchor protein 84) (S-AKAP84)	AKAP1 AKAP149 PRKA1	Homo sapiens (Human)	903
Q5VUY0	ADCL3_HUMAN	reviewed	Arylacetamide deacetylase-like 3 (EC 3.1.1.-)	AADACL3	Homo sapiens (Human)	407
P62736	ACTA_HUMAN	reviewed	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	Homo sapiens (Human)	377
Q9H553	ALG2_HUMAN	reviewed	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2 UNQ666/PRO1298	Homo sapiens (Human)	416
P0C7M7	ACSM4_HUMAN	reviewed	Acyl-coenzyme A synthetase ACSM4, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 4)	ACSM4	Homo sapiens (Human)	580
P49703	ARL4D_HUMAN	reviewed	ADP-ribosylation factor-like protein 4D (ADP-ribosylation factor-like protein 4L)	ARL4D ARF4L	Homo sapiens (Human)	201
Q5TGY3	AHDC1_HUMAN	reviewed	AT-hook DNA-binding motif-containing protein 1	AHDC1	Homo sapiens (Human)	1603
Q9NZN9	AIPL1_HUMAN	reviewed	Aryl-hydrocarbon-interacting protein-like 1	AIPL1 AIPL2	Homo sapiens (Human)	384
Q9Y5A7	NUB1_HUMAN	reviewed	NEDD8 ultimate buster 1 (Negative regulator of ubiquitin-like proteins 1) (Renal carcinoma antigen NY-REN-18)	NUB1 NYREN18	Homo sapiens (Human)	615
P14550	AK1A1_HUMAN	reviewed	Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20)	AKR1A1 ALDR1 ALR	Homo sapiens (Human)	325
Q9NPD3	EXOS4_HUMAN	reviewed	Exosome complex component RRP41 (Exosome component 4) (Ribosomal RNA-processing protein 41) (p12A)	EXOSC4 RRP41 SKI6	Homo sapiens (Human)	245
P42330	AK1C3_HUMAN	reviewed	Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS	Homo sapiens (Human)	323
Q9UKV3	ACINU_HUMAN	reviewed	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	ACIN1 ACINUS KIAA0670	Homo sapiens (Human)	1341
Q9Y2J4	AMOL2_HUMAN	reviewed	Angiomotin-like protein 2 (Leman coiled-coil protein) (LCCP)	AMOTL2 KIAA0989	Homo sapiens (Human)	779
Q96A72	MGN2_HUMAN	reviewed	Protein mago nashi homolog 2	MAGOHB MAGOH2	Homo sapiens (Human)	148
P49418	AMPH_HUMAN	reviewed	Amphiphysin	AMPH AMPH1	Homo sapiens (Human)	695
Q05193	DYN1_HUMAN	reviewed	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	Homo sapiens (Human)	864
P30533	AMRP_HUMAN	reviewed	Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP)	LRPAP1 A2MRAP	Homo sapiens (Human)	357
Q14181	DPOA2_HUMAN	reviewed	DNA polymerase alpha subunit B (DNA polymerase alpha 70 kDa subunit)	POLA2	Homo sapiens (Human)	598
